date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,3.85,1.0,14.22,4.0,62.4,14.0,10.82,3.08,24.02,6.76
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,13.08,4.0,13.08,4.0,11.16,3.32,11.16,3.32
2015-01-05,1.89,1.0,72.74,23.0,94.69,32.0,32.12,9.1,33.87,9.79
2015-01-06,16.73,5.0,67.52,24.0,74.49,27.0,9.37,3.72,10.59,4.31
2015-01-07,0.0,0.0,0.0,0.0,8.88,3.0,0.0,0.0,4.29,1.47
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,9.6,2.0,0.0,0.0,1.96,0.93
2015-01-10,53.49,16.0,348.61,105.0,391.74,117.0,16.89,4.85,29.87,9.01
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,5.5,1.54,5.5,1.54
2015-01-12,0.62,1.0,86.88,29.0,187.31,56.0,37.13,14.73,98.88,30.57
2015-01-13,4.6,2.0,38.04,12.0,74.44,27.0,19.31,6.12,30.73,11.39
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,11.82,6.0,41.25,15.0,5.75,3.65,20.19,6.37
2015-01-16,29.32,11.0,104.9,35.0,152.51,56.0,19.27,6.17,30.12,10.87
2015-01-17,0.0,0.0,36.66,9.0,53.47,13.0,19.94,5.06,28.79,7.07
2015-01-18,1.99,1.0,24.26,8.0,24.26,8.0,13.92,4.15,13.92,4.15
2015-01-19,21.95,6.0,60.42,16.0,62.01,17.0,19.62,4.95,20.32,5.39
2015-01-20,0.0,0.0,0.0,0.0,23.64,6.0,0.0,0.0,0.02,0.0
2015-01-21,4.22,2.0,72.75,23.0,138.41,39.0,48.41,14.68,103.1,27.63
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
