date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,0.0,0.0,14.22,4.0,41.36,11.0,8.23,2.39,15.85,5.06
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,4.32,1.0,13.08,4.0,3.98,0.92,12.0,3.6
2015-01-05,5.28,2.0,49.87,18.0,98.4,33.0,13.41,5.75,37.29,11.28
2015-01-06,10.93,4.0,63.24,22.0,74.49,27.0,16.43,5.75,22.84,8.63
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,5.27,1.8
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,13.19,3.0,0.0,0.0,1.93,0.92
2015-01-10,61.95,19.0,330.96,98.0,391.74,117.0,29.82,9.03,50.19,16.03
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,10.6,3.04,10.6,3.04
2015-01-12,0.62,1.0,74.06,27.0,189.64,57.0,24.31,10.22,77.75,23.91
2015-01-13,2.43,1.0,40.05,13.0,74.44,27.0,15.85,5.31,21.1,8.04
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,3.07,2.0,41.25,15.0,1.36,1.38,24.29,7.82
2015-01-16,22.16,8.0,92.05,32.0,154.44,57.0,24.21,9.24,50.08,18.87
2015-01-17,0.0,0.0,23.17,6.0,53.47,13.0,12.45,3.38,35.72,8.63
2015-01-18,1.99,1.0,9.33,4.0,24.26,8.0,4.84,1.76,15.99,4.77
2015-01-19,12.83,4.0,55.03,14.0,62.01,17.0,25.34,6.11,29.64,8.1
2015-01-20,0.0,0.0,0.0,0.0,19.76,5.0,0.0,0.0,0.0,0.0
2015-01-21,7.82,2.0,72.29,23.0,142.23,40.0,34.77,10.97,92.17,24.57
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,9.0,0.53
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,7.08,1.0,20.36,5.0,34.25,9.0,9.28,2.82,13.74,4.24
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,11.68,2.74,11.68,2.74
2015-01-27,0.0,0.0,26.85,10.0,71.72,27.0,9.59,3.46,26.71,10.01
2015-01-28,15.66,3.0,41.28,8.0,61.32,13.0,19.4,2.64,23.11,3.67
2015-01-29,1.1,1.0,27.98,8.0,81.11,22.0,9.59,3.85,21.22,6.97
2015-01-30,16.89,3.0,60.6,16.0,159.45,48.0,0.25,0.05,4.63,1.07
2015-01-31,12.62,4.0,159.93,32.0,536.67,66.0,22.63,7.34,58.81,14.33
2015-02-01,16.42,2.0,108.48,28.0,289.27,81.0,52.42,11.8,117.79,29.71
2015-02-02,19.55,4.0,45.04,10.0,93.79,20.0,26.1,6.01,43.39,9.52
2015-02-03,7.77,3.0,28.04,11.0,155.62,24.0,12.15,4.45,23.2,5.07
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,3.02,0.95,3.02,0.95
2015-02-05,16.78,4.0,80.8,25.0,190.94,51.0,10.24,4.21,24.75,7.89
2015-02-06,9.95,5.0,139.33,37.0,290.67,84.0,63.02,22.88,157.06,50.48
