date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,0.0,0.0,14.22,4.0,38.46,10.0,6.84,1.99,14.0,4.5
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,0.0,0.0,13.08,4.0,0.0,0.0,12.41,3.7
2015-01-05,6.79,2.0,46.03,17.0,98.4,33.0,10.79,4.7,37.54,11.54
2015-01-06,8.58,3.0,58.76,20.0,74.49,27.0,19.42,6.53,28.05,10.42
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,5.51,1.88
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,19.0,4.0,0.0,0.0,1.99,0.95
2015-01-10,69.31,18.0,285.82,86.0,391.74,117.0,14.76,5.7,56.25,17.88
2015-01-11,2.18,1.0,14.69,5.0,32.75,9.0,11.76,3.56,11.76,3.56
2015-01-12,0.62,1.0,74.06,27.0,189.64,57.0,17.38,7.2,64.66,19.35
2015-01-13,4.0,2.0,40.05,13.0,74.44,27.0,13.62,4.63,17.58,6.82
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,3.07,2.0,41.25,15.0,1.56,1.43,25.26,8.16
2015-01-16,20.45,7.0,83.71,28.0,154.44,57.0,25.81,9.4,56.32,21.17
2015-01-17,0.0,0.0,12.07,3.0,53.47,13.0,7.78,1.9,36.72,8.9
2015-01-18,3.98,2.0,9.33,4.0,24.26,8.0,5.26,1.96,17.35,5.22
2015-01-19,20.32,6.0,33.9,9.0,68.26,18.0,13.32,3.84,35.36,9.68
2015-01-20,0.0,0.0,0.0,0.0,19.76,5.0,0.0,0.0,0.0,0.0
2015-01-21,13.13,4.0,72.65,23.0,142.23,40.0,30.31,10.0,85.19,22.68
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,11.41,0.68
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,7.08,1.0,18.81,4.0,34.25,9.0,9.81,2.36,16.14,4.78
2015-01-26,0.0,0.0,12.27,3.0,20.25,6.0,10.48,2.38,12.67,3.06
2015-01-27,0.0,0.0,27.51,10.0,71.72,27.0,8.01,2.97,28.91,10.92
2015-01-28,5.09,2.0,41.28,8.0,61.32,13.0,21.37,2.97,25.52,4.12
2015-01-29,1.1,1.0,27.98,8.0,76.98,21.0,10.89,4.23,21.14,7.1
2015-01-30,9.39,1.0,53.61,15.0,159.45,48.0,0.07,0.06,5.54,1.36
2015-01-31,9.08,3.0,153.77,30.0,533.79,65.0,23.61,7.61,69.18,15.11
2015-02-01,34.51,5.0,105.26,27.0,292.79,82.0,45.39,10.71,109.56,28.08
2015-02-02,19.55,4.0,45.04,10.0,96.24,21.0,21.48,4.97,40.69,9.32
2015-02-03,4.1,2.0,22.08,9.0,155.62,24.0,9.21,3.58,31.96,6.22
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,3.14,0.98,3.17,1.0
2015-02-05,13.69,3.0,71.13,21.0,188.41,50.0,8.56,3.08,27.04,8.59
2015-02-06,9.81,5.0,123.37,30.0,289.71,84.0,58.96,18.78,165.72,53.12
2015-02-07,33.7,10.0,189.5,51.0,377.08,102.0,125.2,32.48,252.83,64.11
2015-02-08,12.97,2.0,108.09,20.0,220.56,47.0,47.49,7.73,76.36,14.19
2015-02-09,4.66,2.0,31.93,9.0,150.36,41.0,7.01,1.94,37.97,8.91
