date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,0.0,0.0,14.22,4.0,38.46,10.0,7.9,2.29,15.27,4.87
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,4.32,1.0,13.08,4.0,4.29,0.99,12.69,3.67
2015-01-05,2.59,2.0,35.89,13.0,98.4,33.0,10.46,4.65,33.34,10.02
2015-01-06,6.24,2.0,47.49,16.0,74.49,27.0,13.04,4.24,21.13,7.83
2015-01-07,0.0,0.0,0.0,0.0,8.88,3.0,0.0,0.0,4.68,1.6
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,19.0,4.0,0.0,0.0,2.05,0.98
2015-01-10,17.46,5.0,252.95,77.0,391.74,117.0,16.98,5.46,37.15,11.8
2015-01-11,2.18,1.0,14.69,5.0,32.75,9.0,10.55,3.12,10.55,3.12
2015-01-12,0.62,1.0,50.32,17.0,180.2,55.0,15.91,6.43,68.81,21.66
2015-01-13,0.0,0.0,40.05,13.0,71.57,26.0,13.78,4.71,17.68,6.87
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,3.07,2.0,41.25,15.0,1.02,1.02,21.96,6.82
2015-01-16,9.92,2.0,78.25,26.0,152.51,56.0,18.61,6.89,44.2,16.39
2015-01-17,0.0,0.0,19.08,5.0,53.47,13.0,13.08,3.51,31.89,7.78
2015-01-18,0.0,0.0,9.33,4.0,24.26,8.0,5.29,1.96,18.29,5.46
2015-01-19,0.0,0.0,41.54,12.0,62.01,17.0,17.99,5.62,34.8,9.5
2015-01-20,0.0,0.0,0.0,0.0,19.76,5.0,0.0,0.0,0.0,0.0
2015-01-21,0.0,0.0,58.87,18.0,142.23,40.0,28.13,8.65,92.55,24.77
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,8.42,0.5
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,0.0,0.0,18.81,4.0,34.25,9.0,6.64,1.67,11.56,3.57
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,13.58,3.43,13.58,3.43
2015-01-27,0.0,0.0,21.72,8.0,69.68,26.0,7.12,2.46,21.09,7.79
2015-01-28,0.0,0.0,41.28,8.0,61.32,13.0,16.85,2.0,20.1,2.92
2015-01-29,1.1,1.0,31.51,9.0,76.98,21.0,13.8,4.4,17.54,5.68
2015-01-30,9.39,1.0,27.04,9.0,159.45,48.0,0.0,0.0,3.12,0.69
2015-01-31,3.56,1.0,98.42,22.0,526.51,63.0,19.29,6.37,56.29,13.4
2015-02-01,16.48,3.0,93.15,24.0,269.76,76.0,44.87,9.73,102.92,25.83
2015-02-02,0.0,0.0,45.04,10.0,86.51,18.0,24.86,5.65,37.14,7.73
2015-02-03,2.18,1.0,22.08,9.0,149.95,23.0,5.54,2.16,20.41,4.15
2015-02-04,0.0,0.0,3.19,1.0,12.21,4.0,3.19,1.0,3.19,1.0
2015-02-05,0.0,0.0,60.08,17.0,188.41,50.0,3.39,1.31,18.29,5.48
2015-02-06,3.18,3.0,99.15,24.0,279.9,81.0,46.71,15.37,162.77,51.04
2015-02-07,3.03,2.0,158.04,40.0,373.21,101.0,111.78,27.34,274.9,70.6
2015-02-08,4.0,1.0,71.02,12.0,202.23,42.0,44.14,6.79,68.43,12.32
