date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,3.85,1.0,14.22,4.0,62.4,14.0,9.85,2.84,18.85,5.83
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,8.45,3.0,13.08,4.0,7.32,2.52,11.55,3.44
2015-01-05,5.28,2.0,61.0,21.0,94.69,32.0,22.78,8.02,35.05,10.3
2015-01-06,12.6,4.0,65.38,23.0,74.49,27.0,11.35,4.26,13.6,5.33
2015-01-07,0.0,0.0,0.0,0.0,11.08,4.0,0.0,0.0,4.2,1.44
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,13.19,3.0,0.0,0.0,1.97,0.94
2015-01-10,57.79,18.0,348.61,105.0,391.74,117.0,23.35,7.13,36.89,11.5
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,7.17,2.0,7.17,2.0
2015-01-12,0.62,1.0,84.56,28.0,189.64,57.0,51.42,19.16,131.2,39.87
2015-01-13,2.43,1.0,40.05,13.0,74.44,27.0,19.57,6.54,27.5,10.28
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,11.82,6.0,41.25,15.0,5.69,3.63,19.18,6.11
2015-01-16,25.73,11.0,101.63,34.0,154.44,57.0,21.24,7.12,35.2,12.98
2015-01-17,0.0,0.0,32.33,8.0,53.47,13.0,17.77,4.54,29.17,7.14
2015-01-18,1.99,1.0,24.26,8.0,24.26,8.0,15.44,4.6,15.44,4.6
2015-01-19,21.95,6.0,60.42,16.0,62.01,17.0,22.5,5.84,23.12,6.23
2015-01-20,0.0,0.0,0.0,0.0,23.64,6.0,0.0,0.0,0.0,0.0
2015-01-21,4.22,2.0,72.75,23.0,138.41,39.0,44.02,13.38,98.68,26.36
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,2.39,0.14
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,11.93,2.0,25.64,7.0,34.25,9.0,5.99,2.03,7.29,2.35
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,10.72,2.49,10.72,2.49
2015-01-27,0.0,0.0,36.55,14.0,73.91,28.0,9.98,3.52,18.88,6.97
2015-01-28,22.06,4.0,45.83,9.0,61.32,13.0,16.49,2.03,18.59,2.67
2015-01-29,11.19,3.0,35.04,10.0,81.11,22.0,11.84,3.44,16.11,4.68
2015-01-30,7.5,2.0,69.8,19.0,163.01,49.0,0.2,0.06,2.68,0.53
2015-01-31,15.04,4.0,165.36,35.0,536.67,66.0,28.9,9.44,48.7,12.29
2015-02-01,5.51,3.0,99.74,27.0,283.26,79.0,40.4,7.34,125.16,31.2
2015-02-02,19.55,4.0,37.57,9.0,86.51,18.0,27.64,6.82,46.52,9.83
2015-02-03,13.12,5.0,28.04,11.0,149.95,23.0,19.47,7.23,94.35,11.79
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,2.83,0.89,2.83,0.89
2015-02-05,7.02,3.0,100.01,29.0,191.16,52.0,11.93,2.96,16.21,4.69
2015-02-06,11.62,6.0,152.04,41.0,286.05,82.0,54.09,17.88,107.96,31.4
2015-02-07,54.02,12.0,210.41,58.0,395.89,104.0,122.71,35.46,241.17,60.28
2015-02-08,19.62,4.0,120.69,23.0,207.82,44.0,41.62,6.62,51.09,8.67
2015-02-09,0.0,0.0,55.03,15.0,147.33,40.0,16.41,4.02,22.49,5.37
2015-02-10,0.0,0.0,88.82,11.0,201.74,36.0,19.3,1.95,28.61,4.42
2015-02-11,52.29,10.0,129.39,32.0,256.21,63.0,28.33,8.93,51.21,12.18
2015-02-12,4.09,3.0,139.81,42.0,302.23,84.0,44.76,11.08,62.23,15.14
2015-02-13,9.34,3.0,131.4,23.0,223.49,46.0,6.67,1.93,8.91,2.9
2015-02-14,15.85,6.0,121.2,30.0,226.91,57.0,46.3,8.99,70.27,16.63
2015-02-15,30.0,6.0,78.5,29.0,180.07,55.0,32.94,9.98,55.33,18.86
2015-02-16,1.27,2.0,31.48,7.0,72.64,15.0,1.27,0.3,33.67,6.0
2015-02-17,28.76,4.0,159.45,41.0,325.5,90.0,41.73,10.63,123.72,37.92
2015-02-18,9.1,3.0,83.04,19.0,181.4,46.0,12.67,3.72,36.2,9.33
2015-02-19,6.04,3.0,20.88,8.0,141.0,27.0,6.58,1.83,39.89,9.19
2015-02-20,0.57,1.0,15.25,6.0,43.14,12.0,6.43,1.78,7.83,2.42
2015-02-21,2.3,2.0,17.77,8.0,128.81,27.0,1.01,1.14,18.55,4.11
2015-02-22,42.69,5.0,59.14,10.0,189.76,36.0,2.85,1.99,17.93,4.62
2015-02-23,12.52,4.0,86.0,17.0,159.67,37.0,45.04,8.76,81.1,17.55
2015-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,0.0,0.0,0.0,0.0,14.74,4.0,0.0,0.0,1.84,0.61
2015-02-26,0.98,1.0,23.2,7.0,53.71,17.0,11.24,3.69,20.2,6.41
2015-02-27,13.65,4.0,72.49,21.0,122.0,37.0,40.39,11.65,73.32,21.52
2015-02-28,6.05,2.0,18.54,6.0,75.01,21.0,3.29,0.97,24.22,8.78
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,0.0,0.0,0.0,0.0,0.49,1.0,0.0,0.0,0.0,0.0
2015-03-03,0.28,1.0,0.28,1.0,1.36,3.0,0.07,0.26,0.07,0.26
2015-03-04,0.63,1.0,3.92,4.0,15.74,11.0,2.35,1.0,2.48,1.04
2015-03-05,4.28,6.0,26.57,12.0,109.56,51.0,2.25,0.82,42.34,13.64
2015-03-06,0.0,0.0,2.95,1.0,53.16,16.0,0.0,0.0,17.36,4.44
2015-03-07,13.77,4.0,30.66,7.0,77.92,17.0,3.36,1.39,15.75,4.18
2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-09,1.18,2.0,1.71,3.0,43.15,10.0,0.28,0.58,3.32,1.38
2015-03-10,1.84,4.0,18.16,11.0,130.65,37.0,9.97,4.0,14.52,5.41
2015-03-11,10.44,4.0,39.39,13.0,80.31,27.0,15.21,4.55,19.46,5.66
2015-03-12,0.0,0.0,51.08,12.0,152.39,29.0,18.44,4.23,54.45,8.71
2015-03-13,4.38,2.0,40.6,10.0,74.0,15.0,37.08,8.78,45.01,10.44
2015-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-15,0.0,0.0,0.4,1.0,0.64,2.0,0.01,0.02,0.08,0.33
2015-03-16,9.31,4.0,33.03,11.0,123.77,27.0,4.88,2.01,59.8,11.48
2015-03-17,1.7,1.0,42.36,7.0,146.15,25.0,24.53,3.41,28.31,4.52
2015-03-18,0.62,1.0,75.86,8.0,115.42,21.0,38.08,1.23,38.81,2.21
2015-03-19,5.83,2.0,9.65,4.0,50.08,16.0,1.79,0.54,18.87,4.15
2015-03-20,24.11,4.0,30.22,6.0,77.81,15.0,4.89,1.67,10.68,3.04
2015-03-21,2.85,1.0,20.78,7.0,75.91,21.0,11.3,3.45,15.55,5.38
2015-03-22,12.77,2.0,25.81,5.0,137.21,24.0,4.29,0.87,11.01,2.21
2015-03-23,0.0,0.0,5.31,2.0,72.77,8.0,0.8,0.44,20.68,2.17
2015-03-24,0.0,0.0,10.44,3.0,53.9,10.0,0.48,0.11,8.19,1.4
2015-03-25,9.07,2.0,11.47,3.0,46.28,13.0,4.46,1.02,28.05,8.02
2015-03-26,0.0,0.0,10.27,3.0,61.79,15.0,0.0,0.0,6.28,1.83
2015-03-27,0.0,0.0,18.08,6.0,41.6,16.0,10.61,3.9,14.14,6.05
2015-03-28,0.0,0.0,29.53,3.0,59.86,10.0,0.09,0.01,27.42,5.12
2015-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,0.0,0.0,0.0,0.0,0.17,1.0,0.0,0.0,0.15,0.87
2015-03-31,0.55,1.0,6.01,4.0,7.58,6.0,0.0,0.0,1.54,1.97
2015-04-01,0.0,0.0,13.62,3.0,20.19,4.0,11.0,2.49,17.2,3.43
2015-04-02,7.04,1.0,11.13,2.0,28.61,8.0,1.53,0.37,2.15,0.61
2015-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-04,0.0,0.0,0.0,0.0,0.89,1.0,0.0,0.0,0.31,0.34
2015-04-05,0.69,2.0,20.48,10.0,42.4,14.0,7.71,3.42,23.46,6.04
2015-04-06,6.05,3.0,17.78,10.0,32.92,18.0,4.6,3.24,8.06,4.43
2015-04-07,0.0,0.0,0.92,1.0,11.79,6.0,0.47,0.51,1.49,1.59
2015-04-08,3.76,2.0,14.15,4.0,28.24,8.0,0.71,0.23,2.72,0.55
2015-04-09,0.0,0.0,11.7,3.0,33.15,10.0,8.92,2.29,11.11,3.27
2015-04-10,0.24,1.0,0.24,1.0,10.16,6.0,0.06,0.25,0.49,1.13
2015-04-11,12.45,3.0,20.06,6.0,63.84,21.0,2.96,1.0,11.83,3.18
2015-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-14,0.0,0.0,0.0,0.0,8.7,6.0,0.0,0.0,0.81,1.0
