date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,3.85,1.0,14.22,4.0,41.36,11.0,9.23,2.67,17.3,5.49
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,5.14,2.0,13.08,4.0,4.58,1.7,11.91,3.54
2015-01-05,5.28,2.0,55.32,19.0,98.4,33.0,18.41,6.52,36.14,10.8
2015-01-06,12.6,4.0,62.03,22.0,74.49,27.0,13.74,4.94,18.11,6.91
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,4.56,1.57
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,13.19,3.0,0.0,0.0,2.0,0.95
2015-01-10,62.24,20.0,338.87,101.0,391.74,117.0,27.33,8.49,43.12,13.73
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,9.19,2.57,9.19,2.57
2015-01-12,0.62,1.0,77.48,28.0,189.64,57.0,44.93,17.68,121.26,36.97
2015-01-13,2.43,1.0,40.05,13.0,74.44,27.0,17.68,5.9,24.26,9.16
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,10.95,5.0,41.25,15.0,5.65,3.09,20.45,6.55
2015-01-16,23.69,9.0,99.4,34.0,154.44,57.0,19.24,7.45,41.44,15.43
2015-01-17,0.0,0.0,32.33,8.0,53.47,13.0,18.86,4.78,30.7,7.49
2015-01-18,1.99,1.0,16.33,6.0,24.26,8.0,10.86,3.48,16.25,4.84
2015-01-19,12.83,4.0,58.18,15.0,62.01,17.0,23.91,5.96,26.37,7.2
2015-01-20,0.0,0.0,0.0,0.0,19.76,5.0,0.0,0.0,0.0,0.0
2015-01-21,19.25,5.0,73.68,24.0,142.23,40.0,39.0,12.12,96.45,25.71
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,3.85,0.23
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,7.08,1.0,23.5,6.0,34.25,9.0,6.99,2.22,9.2,2.92
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,11.55,2.73,11.55,2.73
2015-01-27,0.0,0.0,31.44,12.0,71.72,27.0,9.13,3.3,21.01,7.74
2015-01-28,24.14,5.0,41.28,8.0,61.32,13.0,17.19,2.17,20.29,3.05
2015-01-29,9.39,2.0,35.04,10.0,81.11,22.0,13.42,4.32,18.37,5.78
2015-01-30,16.89,3.0,64.49,17.0,159.45,48.0,0.33,0.08,3.32,0.7
2015-01-31,11.12,3.0,160.5,33.0,536.67,66.0,20.06,6.64,51.55,13.15
2015-02-01,3.92,2.0,103.53,28.0,283.26,79.0,45.0,9.65,119.65,29.74
2015-02-02,19.55,4.0,37.57,9.0,93.79,20.0,23.6,6.0,47.96,10.52
2015-02-03,11.15,5.0,28.04,11.0,149.95,23.0,20.99,7.86,104.46,13.02
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,2.98,0.94,2.98,0.94
2015-02-05,7.02,3.0,103.64,30.0,189.22,51.0,13.54,3.64,17.89,5.29
2015-02-06,13.19,7.0,153.3,42.0,290.67,84.0,60.76,20.18,120.28,35.81
2015-02-07,42.4,10.0,210.93,58.0,395.89,104.0,131.51,36.64,253.02,62.79
2015-02-08,12.97,2.0,120.69,23.0,213.72,45.0,44.74,7.29,55.43,9.59
2015-02-09,2.77,1.0,41.64,12.0,150.36,41.0,3.89,1.22,24.69,5.85
2015-02-10,0.0,0.0,88.82,11.0,207.48,38.0,23.93,2.25,34.17,4.9
2015-02-11,46.24,8.0,128.34,31.0,256.21,63.0,32.77,9.75,58.87,14.12
2015-02-12,4.09,3.0,132.98,41.0,311.87,85.0,38.42,11.46,70.55,17.27
2015-02-13,9.34,3.0,127.6,22.0,223.49,46.0,5.3,1.53,10.53,3.39
2015-02-14,32.77,8.0,121.2,30.0,226.91,57.0,51.61,10.59,78.09,19.03
2015-02-15,29.11,5.0,91.47,30.0,181.08,56.0,29.32,8.27,48.12,17.49
2015-02-16,1.27,2.0,26.85,6.0,69.64,14.0,0.55,0.13,32.96,5.79
2015-02-17,35.31,5.0,159.45,41.0,327.06,91.0,35.36,9.14,115.16,36.36
2015-02-18,9.1,3.0,74.79,17.0,181.4,46.0,10.22,3.05,31.59,8.1
2015-02-19,6.04,3.0,25.44,9.0,141.0,27.0,9.51,2.36,35.65,8.3
2015-02-20,5.13,2.0,18.16,7.0,59.62,14.0,6.8,1.86,23.89,4.42
2015-02-21,2.3,2.0,17.77,8.0,128.81,27.0,1.54,1.33,20.49,4.57
2015-02-22,42.69,5.0,64.77,11.0,179.26,35.0,4.9,2.47,16.6,4.91
2015-02-23,3.71,2.0,65.63,14.0,159.67,37.0,32.35,7.08,85.86,18.65
2015-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
