date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,0.0,0.0,10.92,3.0,36.08,9.0,7.31,2.06,16.06,4.81
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,4.32,1.0,13.08,4.0,4.3,1.0,12.7,3.66
2015-01-05,2.59,2.0,42.8,15.0,98.4,33.0,16.01,6.15,30.81,9.13
2015-01-06,0.0,0.0,46.05,15.0,74.49,27.0,11.25,3.62,18.23,6.73
2015-01-07,0.0,0.0,0.0,0.0,8.88,3.0,0.0,0.0,4.67,1.6
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,15.41,3.0,0.0,0.0,2.1,1.0
2015-01-10,3.85,2.0,241.71,73.0,391.74,117.0,10.9,3.43,25.49,8.01
2015-01-11,0.0,0.0,14.69,5.0,32.75,9.0,10.17,3.02,10.17,3.02
2015-01-12,0.62,1.0,31.18,11.0,177.13,54.0,5.34,2.59,51.84,16.51
2015-01-13,0.0,0.0,31.09,10.0,69.36,25.0,13.32,4.54,17.84,6.85
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,5.26,3.0,41.25,15.0,3.17,1.91,22.61,6.92
2015-01-16,2.45,1.0,80.89,25.0,152.51,56.0,20.74,6.72,38.25,13.97
2015-01-17,0.0,0.0,23.52,6.0,53.47,13.0,16.56,4.29,29.69,7.28
2015-01-18,0.0,0.0,24.26,8.0,24.26,8.0,19.26,5.74,19.26,5.74
2015-01-19,0.0,0.0,44.69,13.0,62.01,17.0,18.89,5.91,34.92,9.51
2015-01-20,0.0,0.0,0.0,0.0,21.8,5.0,0.0,0.0,0.0,0.0
2015-01-21,0.0,0.0,55.03,17.0,142.23,40.0,29.68,9.14,95.26,25.57
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,12.57,0.75
2015-01-24,0.0,0.0,0.0,0.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,0.0,0.0,15.91,3.0,34.25,9.0,7.39,1.59,16.96,5.07
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,13.57,3.45,13.57,3.45
2015-01-27,0.0,0.0,20.61,7.0,69.68,26.0,6.32,2.11,19.58,7.22
2015-01-28,0.0,0.0,41.28,8.0,61.32,13.0,15.2,1.63,18.02,2.44
2015-01-29,1.1,1.0,31.51,9.0,76.98,21.0,12.8,3.78,15.81,4.81
2015-01-30,9.39,1.0,20.82,6.0,159.45,48.0,0.0,0.0,2.23,0.47
2015-01-31,3.56,1.0,106.76,25.0,522.55,61.0,29.46,9.67,51.01,12.5
2015-02-01,10.9,2.0,69.85,18.0,258.82,73.0,30.93,6.02,96.2,23.83
