date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,3.33,1.0,14.22,4.0,38.46,10.0,4.49,1.32,10.43,3.41
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,0.0,0.0,13.08,4.0,0.0,0.0,12.26,3.7
2015-01-05,11.07,4.0,35.81,13.0,105.24,35.0,2.41,1.29,40.63,12.61
2015-01-06,14.81,6.0,63.24,22.0,74.49,27.0,26.82,9.3,35.09,13.0
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,6.16,2.11
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,13.19,3.0,0.0,0.0,1.89,0.9
2015-01-10,108.0,33.0,306.73,92.0,391.74,117.0,41.97,13.95,92.31,28.38
2015-01-11,6.82,3.0,14.69,5.0,16.29,7.0,11.81,3.68,11.81,3.68
2015-01-12,6.12,3.0,77.21,28.0,189.64,57.0,16.13,6.45,61.18,17.8
2015-01-13,12.15,4.0,40.05,13.0,74.44,27.0,13.68,4.48,17.79,6.8
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.0,0.0,3.07,2.0,41.25,15.0,1.7,1.51,25.02,8.15
2015-01-16,19.37,7.0,85.0,28.0,154.44,57.0,29.09,10.55,71.63,27.28
2015-01-17,0.0,0.0,2.58,1.0,53.47,13.0,1.08,0.42,39.96,9.65
2015-01-18,3.98,2.0,3.98,2.0,24.26,8.0,0.69,0.35,16.97,5.19
2015-01-19,20.32,6.0,29.44,8.0,68.26,18.0,13.97,4.11,37.4,10.22
2015-01-20,0.0,0.0,0.0,0.0,19.76,5.0,0.0,0.0,0.0,0.0
2015-01-21,25.22,7.0,72.65,23.0,154.9,43.0,25.04,8.41,88.22,23.09
