date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,3.85,1.0,14.22,4.0,62.4,14.0,10.3,2.96,19.67,6.04
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,13.08,4.0,13.08,4.0,10.41,3.17,10.41,3.17
2015-01-05,1.89,1.0,74.78,24.0,94.69,32.0,33.05,9.43,34.04,9.75
2015-01-06,21.61,7.0,67.52,24.0,74.49,27.0,6.83,2.9,8.0,3.47
2015-01-07,0.0,0.0,0.0,0.0,8.88,3.0,0.0,0.0,3.95,1.36
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,9.6,2.0,0.0,0.0,1.84,0.88
2015-01-10,62.85,19.0,353.97,107.0,391.74,117.0,24.09,6.74,34.06,9.97
2015-01-11,12.81,4.0,14.69,5.0,32.75,9.0,2.99,0.85,2.99,0.85
2015-01-12,6.44,3.0,89.82,30.0,187.31,56.0,60.0,21.6,140.0,41.99
2015-01-13,8.35,3.0,38.04,12.0,74.44,27.0,20.57,6.52,32.7,12.04
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,17.05,8.0,41.25,15.0,6.35,3.28,18.15,5.1
2015-01-16,35.63,14.0,121.4,42.0,154.44,57.0,20.97,7.19,29.58,10.72
2015-01-17,2.58,1.0,36.66,9.0,53.47,13.0,19.62,4.96,28.33,6.93
2015-01-18,1.99,1.0,24.26,8.0,24.26,8.0,12.99,3.86,12.99,3.86
2015-01-19,21.95,6.0,62.01,17.0,62.01,17.0,16.87,4.43,16.87,4.43
2015-01-20,0.0,0.0,0.0,0.0,23.64,6.0,0.0,0.0,0.03,0.01
