date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,10.92,3.0,14.22,4.0,62.4,14.0,7.73,2.24,14.98,4.78
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,0.0,0.0,13.08,4.0,0.0,0.0,11.55,3.54
2015-01-05,12.14,4.0,49.87,18.0,105.24,35.0,14.5,6.13,39.88,12.17
2015-01-06,30.7,10.0,72.41,26.0,74.49,27.0,23.28,8.62,24.85,9.38
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,5.02,1.73
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,13.19,3.0,0.0,0.0,1.94,0.92
2015-01-10,128.25,41.0,358.29,106.0,391.74,117.0,56.83,16.86,76.52,23.78
2015-01-11,14.69,5.0,14.69,5.0,16.29,7.0,9.52,2.7,9.52,2.7
2015-01-12,16.0,7.0,105.72,35.0,189.64,57.0,32.53,12.48,78.23,23.38
2015-01-13,4.4,2.0,53.59,16.0,74.44,27.0,17.35,5.46,22.69,8.53
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,11.35,5.0,41.25,15.0,5.21,2.69,21.82,7.03
2015-01-16,37.68,13.0,104.44,37.0,154.44,57.0,33.36,12.74,59.85,22.49
2015-01-17,2.58,1.0,23.17,6.0,53.47,13.0,13.35,3.57,35.91,8.65
2015-01-18,1.99,1.0,7.82,3.0,24.26,8.0,3.42,0.89,15.66,4.65
2015-01-19,20.32,6.0,54.4,15.0,62.01,17.0,24.62,6.84,28.1,7.78
2015-01-20,0.0,0.0,0.0,0.0,23.64,6.0,0.0,0.0,0.0,0.0
2015-01-21,35.96,10.0,74.07,23.0,154.9,43.0,35.01,10.99,97.73,25.55
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,2.05,0.12
2015-01-24,0.0,0.0,3.21,1.0,5.14,2.0,0.0,0.0,0.01,0.01
2015-01-25,11.93,2.0,30.18,8.0,34.25,9.0,9.74,3.11,11.19,3.46
2015-01-26,0.0,0.0,12.27,3.0,20.25,6.0,9.46,2.03,10.85,2.47
2015-01-27,3.49,1.0,34.08,13.0,77.1,29.0,12.34,4.75,30.28,11.41
2015-01-28,22.17,5.0,45.83,9.0,61.32,13.0,27.61,4.31,30.46,5.17
2015-01-29,13.4,3.0,30.07,9.0,81.11,22.0,10.83,4.09,22.37,7.12
2015-01-30,11.43,5.0,75.0,21.0,163.01,49.0,2.17,0.65,6.72,1.63
2015-01-31,54.25,9.0,436.26,40.0,545.03,68.0,22.85,7.26,55.84,14.5
2015-02-01,22.51,5.0,134.04,36.0,379.22,89.0,52.85,12.0,178.41,34.72
2015-02-02,29.84,7.0,45.04,10.0,97.98,22.0,24.8,5.75,45.58,11.03
2015-02-03,17.97,8.0,141.39,17.0,155.62,24.0,122.86,10.8,128.56,14.51
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,2.8,0.88,2.8,0.88
2015-02-05,49.29,13.0,116.52,34.0,189.22,51.0,14.34,5.83,27.81,9.09
2015-02-06,37.56,12.0,157.8,44.0,297.49,86.0,65.96,21.53,113.56,33.3
2015-02-07,78.0,20.0,233.54,68.0,399.76,105.0,109.79,34.07,199.87,51.35
2015-02-08,20.02,4.0,127.01,25.0,239.77,51.0,47.95,8.14,59.11,10.54
2015-02-09,12.43,5.0,86.67,23.0,150.36,41.0,9.01,2.21,30.35,7.13
