date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,0.0,0.0,14.22,4.0,38.46,10.0,7.79,2.26,15.24,4.87
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,4.32,1.0,13.08,4.0,4.1,0.95,12.28,3.65
2015-01-05,8.68,3.0,49.87,18.0,98.4,33.0,13.21,5.71,36.77,11.17
2015-01-06,10.93,4.0,58.76,20.0,74.49,27.0,16.2,5.49,23.92,8.96
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,5.23,1.79
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,19.0,4.0,0.0,0.0,1.97,0.94
2015-01-10,57.62,15.0,310.99,93.0,391.74,117.0,23.98,7.6,49.02,15.68
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,10.97,3.21,10.97,3.21
2015-01-12,0.62,1.0,74.06,27.0,189.64,57.0,22.12,9.24,73.44,22.41
2015-01-13,2.43,1.0,40.05,13.0,74.44,27.0,14.91,5.03,19.65,7.54
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,3.07,2.0,41.25,15.0,1.36,1.35,24.17,7.76
2015-01-16,18.94,7.0,83.71,28.0,152.51,56.0,22.29,8.2,50.65,19.02
2015-01-17,0.0,0.0,17.07,5.0,53.47,13.0,10.3,3.03,35.37,8.57
2015-01-18,1.99,1.0,9.33,4.0,24.26,8.0,5.05,1.85,16.82,5.03
2015-01-19,12.83,4.0,55.03,14.0,62.01,17.0,27.73,6.75,32.21,8.81
2015-01-20,0.0,0.0,0.0,0.0,19.76,5.0,0.0,0.0,0.0,0.0
2015-01-21,3.68,1.0,69.94,22.0,142.23,40.0,32.54,10.39,90.38,24.11
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,9.56,0.57
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,7.08,1.0,20.36,5.0,34.25,9.0,9.45,2.83,13.97,4.26
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,12.32,2.96,12.32,2.96
2015-01-27,0.0,0.0,26.85,10.0,71.72,27.0,9.56,3.46,26.46,9.94
2015-01-28,13.58,2.0,41.28,8.0,61.32,13.0,19.46,2.6,23.2,3.64
2015-01-29,1.1,1.0,27.98,8.0,76.98,21.0,9.92,3.99,19.49,6.62
2015-01-30,9.39,1.0,53.61,15.0,159.45,48.0,0.02,0.02,4.56,1.06
2015-01-31,12.62,4.0,159.93,32.0,533.79,65.0,23.25,7.52,59.7,13.95
2015-02-01,21.8,2.0,105.26,27.0,283.26,79.0,50.45,11.52,110.53,27.63
2015-02-02,19.55,4.0,45.04,10.0,89.55,19.0,24.51,5.65,38.92,8.46
2015-02-03,6.38,2.0,22.08,9.0,155.62,24.0,7.55,2.91,25.01,5.21
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,3.1,0.97,3.11,0.98
2015-02-05,2.8,1.0,73.24,22.0,190.94,51.0,7.69,3.04,24.65,7.82
2015-02-06,9.81,5.0,122.19,30.0,290.67,84.0,53.97,18.21,163.53,51.97
2015-02-07,31.66,9.0,200.75,54.0,377.08,102.0,135.95,35.32,257.32,65.19
2015-02-08,12.97,2.0,113.02,21.0,213.72,45.0,49.81,8.51,70.59,13.01
2015-02-09,4.66,2.0,35.5,10.0,147.33,40.0,6.66,1.89,33.93,7.94
2015-02-10,0.0,0.0,76.1,9.0,199.44,35.0,23.01,1.38,45.7,5.98
2015-02-11,34.81,4.0,106.24,25.0,253.91,62.0,33.34,10.28,85.87,20.6
2015-02-12,1.79,2.0,104.76,34.0,302.23,84.0,34.74,11.28,85.74,21.19
2015-02-13,4.5,1.0,55.93,15.0,221.22,45.0,8.68,2.54,26.39,5.93
2015-02-14,5.74,1.0,89.33,23.0,225.11,56.0,32.25,10.15,106.2,28.95
2015-02-15,21.88,4.0,77.08,23.0,181.08,56.0,45.82,14.7,101.15,34.21
2015-02-16,1.27,2.0,15.12,5.0,69.64,14.0,5.42,1.0,32.51,5.63
2015-02-17,7.89,2.0,121.03,30.0,329.35,92.0,29.09,7.56,100.92,33.01
2015-02-18,6.67,2.0,49.32,12.0,176.95,45.0,9.39,2.8,32.91,8.38
2015-02-19,0.0,0.0,23.02,8.0,141.0,27.0,7.73,1.84,30.2,7.12
2015-02-20,5.13,2.0,13.98,6.0,59.62,14.0,7.13,1.89,25.07,4.64
2015-02-21,1.92,1.0,17.77,8.0,128.81,27.0,2.81,1.78,25.08,5.65
2015-02-22,42.69,5.0,57.3,9.0,176.48,35.0,10.03,2.41,21.95,5.67
2015-02-23,2.21,1.0,51.45,11.0,156.6,36.0,24.84,5.95,88.63,19.67
2015-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,0.0,0.0,0.0,0.0,14.74,4.0,0.0,0.0,2.43,0.81
2015-02-26,0.98,1.0,17.86,5.0,50.1,15.0,8.19,2.47,19.63,5.56
2015-02-27,6.39,2.0,63.96,18.0,122.0,37.0,42.3,11.67,87.48,25.59
2015-02-28,6.05,2.0,18.54,6.0,75.01,21.0,7.06,2.09,36.64,12.29
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,0.0,0.0,0.0,0.0,0.49,1.0,0.0,0.0,0.0,0.0
2015-03-03,0.28,1.0,0.28,1.0,1.36,3.0,0.26,0.91,0.26,0.91
2015-03-04,0.63,1.0,3.92,4.0,15.74,11.0,2.36,1.0,3.0,1.2
2015-03-05,4.28,6.0,17.51,10.0,101.04,49.0,10.64,4.11,69.76,25.27
2015-03-06,0.0,0.0,8.58,3.0,53.16,16.0,0.12,0.04,19.85,5.18
2015-03-07,1.61,1.0,22.22,7.0,77.92,17.0,5.75,2.17,25.91,6.06
