date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,3.85,1.0,14.22,4.0,62.4,14.0,9.28,2.68,17.85,5.59
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,5.14,2.0,13.08,4.0,4.4,1.71,11.4,3.47
2015-01-05,5.28,2.0,55.32,19.0,101.79,34.0,18.9,6.68,37.45,11.22
2015-01-06,15.44,5.0,72.41,26.0,74.49,27.0,18.12,6.8,19.58,7.5
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,4.89,1.68
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,13.19,3.0,0.0,0.0,1.93,0.92
2015-01-10,70.38,23.0,352.68,106.0,391.74,117.0,36.59,11.26,50.86,15.91
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,9.81,2.75,9.81,2.75
2015-01-12,4.09,2.0,94.87,32.0,189.64,57.0,51.71,19.85,119.56,36.26
2015-01-13,2.43,1.0,53.59,16.0,74.44,27.0,19.71,6.36,25.06,9.43
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,11.82,6.0,41.25,15.0,6.86,4.07,21.77,6.96
2015-01-16,28.65,12.0,103.28,35.0,154.44,57.0,24.53,9.15,45.41,17.07
2015-01-17,0.0,0.0,32.33,8.0,53.47,13.0,19.88,4.97,32.75,7.92
2015-01-18,1.99,1.0,16.33,6.0,24.26,8.0,10.13,3.24,15.04,4.48
2015-01-19,12.83,4.0,62.01,17.0,62.01,17.0,24.8,6.77,24.8,6.77
2015-01-20,0.0,0.0,0.0,0.0,23.64,6.0,0.0,0.0,0.0,0.0
2015-01-21,26.44,7.0,72.75,23.0,142.23,40.0,39.1,11.93,95.44,25.34
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,4.1,0.24
2015-01-24,0.0,0.0,3.21,1.0,5.14,2.0,0.0,0.0,0.0,0.0
2015-01-25,11.93,2.0,25.64,7.0,34.25,9.0,8.99,2.95,10.67,3.36
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,10.76,2.43,10.76,2.43
2015-01-27,0.0,0.0,33.42,13.0,73.91,28.0,11.23,4.18,24.91,9.29
2015-01-28,24.14,5.0,45.83,9.0,61.32,13.0,19.42,2.75,21.88,3.5
2015-01-29,9.39,2.0,30.07,9.0,81.11,22.0,8.79,3.31,18.85,5.86
2015-01-30,10.25,4.0,69.8,19.0,163.01,49.0,0.75,0.21,4.18,0.91
