date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,0.0,0.0,14.22,4.0,38.46,10.0,6.21,1.81,13.14,4.24
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,0.0,0.0,13.08,4.0,0.0,0.0,12.62,3.74
2015-01-05,7.49,3.0,39.51,15.0,98.4,33.0,5.81,3.25,36.86,11.4
2015-01-06,5.63,2.0,50.94,17.0,74.49,27.0,18.66,6.08,29.53,10.88
2015-01-07,0.0,0.0,0.0,0.0,12.97,5.0,0.0,0.0,5.48,1.87
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,7.5,1.0,7.5,1.0,19.0,4.0,0.0,0.0,2.03,0.96
2015-01-10,53.15,13.0,254.04,76.0,391.74,117.0,10.12,4.12,55.7,17.64
2015-01-11,2.18,1.0,14.69,5.0,32.75,9.0,12.24,3.79,12.24,3.79
2015-01-12,0.62,1.0,69.59,25.0,189.64,57.0,14.81,6.11,59.88,17.8
2015-01-13,4.0,2.0,40.05,13.0,74.44,27.0,12.22,4.23,15.7,6.18
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.0,0.0,3.07,2.0,41.25,15.0,1.55,1.4,25.14,8.1
2015-01-16,14.98,4.0,74.18,25.0,152.51,56.0,22.17,8.58,57.29,21.51
2015-01-17,0.0,0.0,5.34,2.0,48.0,12.0,3.42,1.26,33.37,8.27
2015-01-18,1.99,1.0,3.98,2.0,24.26,8.0,0.32,0.16,18.17,5.48
2015-01-19,18.63,5.0,29.44,8.0,68.26,18.0,13.58,3.93,37.8,10.35
2015-01-20,0.0,0.0,0.0,0.0,16.6,4.0,0.0,0.0,0.0,0.0
2015-01-21,5.31,2.0,68.81,22.0,142.23,40.0,27.53,9.22,82.72,21.98
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,12.08,0.72
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,0.0,0.0,11.93,2.0,34.25,9.0,4.92,0.9,16.5,4.83
2015-01-26,0.0,0.0,6.53,1.0,20.25,6.0,6.5,1.0,13.37,3.29
2015-01-27,0.0,0.0,22.38,8.0,67.47,25.0,6.97,2.46,26.55,9.85
2015-01-28,3.01,1.0,41.28,8.0,61.32,13.0,21.18,2.9,25.42,4.08
2015-01-29,1.1,1.0,24.6,7.0,76.98,21.0,11.06,4.22,21.4,7.12
2015-01-30,9.39,1.0,39.13,11.0,159.45,48.0,0.09,0.07,5.51,1.38
2015-01-31,9.08,3.0,142.7,26.0,533.79,65.0,17.44,5.13,73.76,15.58
2015-02-01,34.51,5.0,101.81,26.0,285.52,80.0,41.68,10.08,99.99,25.73
2015-02-02,9.82,2.0,40.7,9.0,94.5,21.0,19.94,4.55,38.91,9.24
2015-02-03,1.92,1.0,22.08,9.0,155.62,24.0,9.45,3.7,34.51,6.44
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,3.18,1.0,3.22,1.01
2015-02-05,2.13,1.0,60.89,17.0,188.41,50.0,5.67,1.87,27.2,8.6
2015-02-06,15.37,6.0,79.33,26.0,289.71,84.0,44.36,17.29,173.13,54.78
2015-02-07,21.42,6.0,175.83,47.0,377.08,102.0,116.51,30.1,257.98,65.8
2015-02-08,4.0,1.0,95.51,17.0,220.56,47.0,41.58,6.47,80.07,14.91
2015-02-09,4.66,2.0,31.93,9.0,147.33,40.0,7.31,2.01,38.92,9.16
2015-02-10,2.06,1.0,18.35,5.0,196.34,34.0,0.2,0.1,50.71,6.68
2015-02-11,0.0,0.0,94.39,22.0,256.07,63.0,31.2,9.28,95.85,22.94
2015-02-12,0.56,1.0,84.07,27.0,289.07,82.0,32.44,9.93,88.9,22.86
2015-02-13,7.99,2.0,54.3,14.0,184.16,41.0,9.52,2.58,31.47,6.87
2015-02-14,5.74,1.0,80.76,21.0,202.44,53.0,31.13,10.17,110.72,30.66
2015-02-15,2.1,2.0,64.78,19.0,166.17,53.0,33.2,10.81,91.08,31.87
2015-02-16,0.48,1.0,15.12,5.0,69.64,14.0,5.42,0.99,31.87,5.44
2015-02-17,13.18,3.0,93.55,24.0,321.43,90.0,23.75,6.27,87.42,29.29
2015-02-18,0.0,0.0,45.92,11.0,179.27,46.0,6.59,1.97,28.54,7.48
2015-02-19,0.0,0.0,20.03,7.0,134.47,26.0,6.35,1.46,22.9,5.72
2015-02-20,5.13,2.0,12.0,5.0,59.62,14.0,6.26,1.64,24.56,4.49
2015-02-21,0.0,0.0,8.56,5.0,112.1,24.0,1.61,1.48,18.51,4.72
2015-02-22,3.71,1.0,54.3,8.0,176.48,35.0,15.1,2.96,29.1,6.81
2015-02-23,0.0,0.0,46.62,10.0,156.6,36.0,26.06,6.27,95.79,21.29
2015-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-25,0.0,0.0,0.0,0.0,14.74,4.0,0.0,0.0,2.63,0.88
2015-02-26,0.98,1.0,7.68,2.0,50.1,15.0,0.16,0.16,20.89,6.05
2015-02-27,6.39,2.0,43.86,11.0,122.0,37.0,37.62,9.61,97.34,28.65
2015-02-28,8.44,3.0,18.54,6.0,82.11,23.0,8.59,2.56,40.81,13.34
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,0.0,0.0,0.0,0.0,0.49,1.0,0.0,0.0,0.0,0.0
2015-03-03,0.28,1.0,0.28,1.0,1.36,3.0,0.27,0.98,0.27,0.98
2015-03-04,0.63,1.0,1.56,3.0,15.74,11.0,0.11,0.2,3.24,1.44
2015-03-05,4.28,6.0,22.13,14.0,101.04,49.0,12.81,4.71,71.75,26.2
2015-03-06,0.0,0.0,8.58,3.0,58.17,17.0,0.37,0.13,21.8,5.73
2015-03-07,0.0,0.0,18.67,6.0,77.92,17.0,4.97,1.96,21.6,5.27
2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-09,1.71,3.0,3.62,4.0,46.19,11.0,0.68,1.28,4.07,2.17
2015-03-10,1.84,4.0,14.17,10.0,76.87,33.0,4.04,2.71,20.33,8.45
2015-03-11,1.13,1.0,25.82,9.0,77.37,26.0,13.89,3.99,28.11,8.2
2015-03-12,0.0,0.0,14.36,5.0,152.41,29.0,9.04,3.19,82.54,13.7
2015-03-13,0.0,0.0,33.97,8.0,65.4,14.0,3.71,0.81,8.7,2.73
2015-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-15,0.0,0.0,0.4,1.0,0.64,2.0,0.0,0.0,0.03,0.12
2015-03-16,0.0,0.0,21.65,8.0,123.77,27.0,4.53,1.09,42.14,8.52
2015-03-17,0.0,0.0,5.25,2.0,127.28,21.0,1.25,0.36,32.4,5.34
2015-03-18,7.39,3.0,11.57,5.0,115.42,21.0,0.38,0.53,38.24,2.71
2015-03-19,0.0,0.0,9.65,4.0,57.15,18.0,4.46,1.61,25.95,5.93
2015-03-20,24.11,4.0,30.22,6.0,75.29,15.0,5.7,2.01,7.28,2.7
2015-03-21,0.0,0.0,5.01,2.0,70.83,19.0,2.2,0.98,18.58,6.68
