date,frp50,n50,frp100,n100,frp200,n200,frpup100,nup100,frpup200,nup200
2015-01-01,3.85,1.0,14.22,4.0,55.15,13.0,10.07,2.9,18.51,5.81
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,0.0,0.0,8.45,3.0,13.08,4.0,7.51,2.53,11.84,3.46
2015-01-05,1.89,1.0,69.84,22.0,94.69,32.0,30.94,8.82,33.93,9.94
2015-01-06,11.77,4.0,57.26,20.0,74.49,27.0,8.79,3.21,12.25,4.78
2015-01-07,0.0,0.0,0.0,0.0,8.88,3.0,0.0,0.0,3.93,1.35
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,0.0,0.0,7.5,1.0,9.6,2.0,0.0,0.0,2.0,0.95
2015-01-10,51.95,15.0,338.37,102.0,391.74,117.0,18.82,5.96,32.62,10.37
2015-01-11,9.53,3.0,14.69,5.0,32.75,9.0,6.39,1.79,6.39,1.79
2015-01-12,0.62,1.0,75.08,27.0,189.64,57.0,51.08,19.49,133.81,40.71
2015-01-13,2.43,1.0,40.05,13.0,74.44,27.0,19.48,6.53,27.41,10.25
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,0.27,1.0,11.82,6.0,41.25,15.0,5.25,3.29,18.11,5.6
2015-01-16,12.92,5.0,99.35,33.0,152.51,56.0,19.58,6.41,32.4,11.77
2015-01-17,0.0,0.0,32.33,8.0,53.47,13.0,17.06,4.42,27.67,6.83
2015-01-18,1.99,1.0,24.26,8.0,24.26,8.0,16.14,4.81,16.14,4.81
2015-01-19,21.95,6.0,58.18,15.0,62.01,17.0,21.87,5.45,23.92,6.47
2015-01-20,0.0,0.0,0.0,0.0,23.64,6.0,0.0,0.0,0.0,0.0
2015-01-21,1.98,1.0,72.75,23.0,138.41,39.0,44.59,13.6,99.94,26.77
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,0.0,34.04,3.0,0.0,0.0,2.09,0.12
2015-01-24,0.0,0.0,3.21,1.0,3.21,1.0,0.0,0.0,0.0,0.0
2015-01-25,7.08,1.0,23.5,6.0,34.25,9.0,4.57,1.51,6.22,2.02
2015-01-26,0.0,0.0,18.68,5.0,20.25,6.0,10.99,2.64,10.99,2.64
2015-01-27,0.0,0.0,28.24,11.0,73.91,28.0,6.4,2.26,16.84,6.22
2015-01-28,22.06,4.0,41.28,8.0,61.32,13.0,15.47,1.74,17.86,2.44
2015-01-29,2.9,2.0,35.04,10.0,81.11,22.0,11.73,3.34,15.52,4.43
2015-01-30,0.0,0.0,64.49,17.0,163.01,49.0,0.09,0.02,2.21,0.42
2015-01-31,9.02,3.0,162.1,34.0,534.84,65.0,28.37,9.26,48.72,12.19
2015-02-01,3.92,2.0,97.34,26.0,263.83,74.0,41.46,7.64,108.98,27.03
2015-02-02,19.55,4.0,37.57,9.0,77.38,17.0,27.45,6.79,37.84,8.9
2015-02-03,8.45,3.0,28.04,11.0,149.95,23.0,19.2,7.16,92.79,11.67
2015-02-04,0.0,0.0,3.19,1.0,16.06,5.0,2.92,0.92,2.92,0.92
2015-02-05,7.02,3.0,86.91,26.0,195.88,53.0,10.72,2.5,14.51,4.03
2015-02-06,11.62,6.0,147.41,39.0,284.5,81.0,54.39,17.15,107.0,30.31
2015-02-07,29.36,9.0,203.37,55.0,395.89,104.0,120.22,33.81,244.89,61.33
2015-02-08,16.26,3.0,115.91,22.0,205.89,43.0,41.77,6.53,50.47,8.41
2015-02-09,0.0,0.0,48.89,13.0,147.33,40.0,16.08,3.94,21.48,5.13
2015-02-10,0.0,0.0,80.93,9.0,188.89,32.0,15.81,1.67,24.84,4.11
2015-02-11,52.29,10.0,122.94,30.0,253.91,62.0,25.86,8.17,46.46,11.12
2015-02-12,4.24,3.0,137.9,41.0,286.11,80.0,42.04,9.44,58.05,13.25
2015-02-13,12.3,4.0,131.4,23.0,186.43,42.0,5.99,1.76,7.96,2.64
2015-02-14,14.13,5.0,119.56,29.0,226.91,57.0,45.33,8.51,67.58,15.6
2015-02-15,29.11,5.0,77.38,24.0,180.07,55.0,30.52,7.78,57.05,19.41
2015-02-16,1.27,2.0,31.48,7.0,72.64,15.0,1.42,0.34,33.92,6.05
2015-02-17,19.77,3.0,156.17,40.0,320.27,89.0,41.95,10.59,119.69,37.02
2015-02-18,11.46,4.0,74.79,17.0,176.95,45.0,12.49,3.64,34.37,8.9
2015-02-19,6.04,3.0,20.88,8.0,130.84,25.0,6.49,1.8,32.81,7.67
2015-02-20,0.57,1.0,15.25,6.0,43.14,12.0,6.67,1.83,8.16,2.51
