hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-12-23T23,802.333,1004.333,81.933,148.967,25.333,1,1,1,1,1
2018-12-24T00,758.5,971.5,82.567,48.35,24.1,1,1,1,1,1
2018-12-24T01,766.667,970.333,91.133,35.967,24.333,1,1,1,1,1
2018-12-24T02,839.667,1087.0,104.9,9.7,23.4,1,1,1,1,1
2018-12-24T03,663.333,888.5,102.0,6.267,27.733,1,1,1,1,1
2018-12-24T04,519.667,734.0,105.767,9.667,30.7,1,1,1,1,1
2018-12-24T05,470.0,724.667,99.9,23.733,29.233,1,1,1,1,1
2018-12-24T06,384.0,616.0,87.267,44.1,23.333,1,1,1,1,1
2018-12-24T07,287.5,488.0,79.6,54.1,21.3,1,1,1,1,1
2018-12-24T08,215.5,358.5,69.65,56.475,19.0,1,1,1,1,1
2018-12-24T09,186.333,320.333,74.733,49.2,19.2,1,1,1,1,1
2018-12-24T10,187.0,332.0,93.433,26.567,21.7,1,1,1,1,1
2018-12-24T11,222.0,390.0,115.267,3.067,18.9,1,1,1,1,1
2018-12-24T12,241.5,459.667,107.5,2.933,19.933,1,1,1,1,1
2018-12-24T13,281.5,506.5,103.425,3.1,18.967,1,1,1,1,1
2018-12-24T14,328.0,512.333,99.9,3.25,19.1,1,1,1,1,1
2018-12-24T15,396.5,562.0,96.75,2.825,19.275,1,1,1,1,1
2018-12-24T16,453.333,656.0,90.333,3.233,19.533,1,1,1,1,1
2018-12-24T17,499.5,667.667,88.033,3.133,19.367,1,1,1,1,1
2018-12-24T18,486.5,637.0,81.025,3.175,18.25,2,2,2,2,2
2018-12-24T19,359.5,455.0,77.4,4.1,16.85,1,1,1,1,1
2018-12-24T20,309.333,394.333,64.7,4.233,13.4,1,1,1,1,1
2018-12-24T21,291.667,369.667,62.433,5.1,13.3,1,1,1,1,1
2018-12-24T22,336.0,417.5,61.967,4.225,12.975,1,1,1,1,1
2018-12-24T23,347.0,437.667,61.467,5.45,13.2,1,1,1,1,1
2018-12-25T00,356.0,437.0,61.9,4.15,13.7,1,1,1,1,1
2018-12-25T01,389.667,494.0,63.3,3.8,14.3,1,1,1,1,1
2018-12-25T02,397.333,522.667,67.767,6.3,17.3,1,1,1,1,1
2018-12-25T03,374.0,521.0,68.125,13.0,19.425,1,1,1,1,1
2018-12-25T04,341.667,518.333,63.6,26.367,20.867,1,1,1,1,1
2018-12-25T05,320.333,491.333,63.9,32.933,20.3,1,1,1,1,1
2018-12-25T06,293.0,444.0,61.0,43.65,18.525,1,1,1,1,1
2018-12-25T07,258.0,393.667,63.833,48.933,17.7,1,1,1,1,1
2018-12-25T08,262.0,384.333,57.433,57.733,19.533,1,1,1,1,1
2018-12-25T09,281.667,384.667,64.033,51.6,20.2,1,1,1,1,1
2018-12-25T10,247.5,365.0,91.933,29.633,20.933,1,1,1,1,1
2018-12-25T11,232.333,412.0,114.6,5.533,21.2,1,1,1,1,1
2018-12-25T12,273.5,475.0,104.8,3.925,21.0,1,1,1,1,1
2018-12-25T13,333.667,526.0,101.225,3.125,21.1,1,1,1,1,1
2018-12-25T14,410.0,602.0,94.7,3.675,19.05,1,1,1,1,1
2018-12-25T15,491.0,679.0,91.275,3.075,17.6,1,1,1,1,1
2018-12-25T16,504.5,675.0,88.975,3.15,18.0,1,1,1,1,1
