hour_utc,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,surface_pressure,wind_speed_10m,wind_direction_10m,wind_speed_100m,boundary_layer_height
2015-01-01T00,,,,,,12.6,81,0.0,63,990.0,8.3,5,17.7,105.0
2015-01-01T01,,,,,,12.2,82,0.0,61,990.0,8.3,5,18.1,105.0
2015-01-01T02,,,,,,11.9,84,0.0,28,990.5,8.5,12,19.1,95.0
2015-01-01T03,,,,,,13.1,79,0.0,24,991.8,7.1,24,14.0,100.0
2015-01-01T04,,,,,,15.6,69,0.0,39,992.6,4.8,48,7.0,135.0
2015-01-01T05,,,,,,18.1,60,0.0,92,993.1,5.1,82,6.5,250.0
2015-01-01T06,,,,,,20.2,52,0.0,100,992.9,7.2,108,8.8,445.0
2015-01-01T07,,,,,,20.8,49,0.0,100,992.2,7.6,121,9.2,545.0
2015-01-01T08,,,,,,21.1,47,0.0,100,991.3,6.0,115,7.2,580.0
2015-01-01T09,,,,,,21.3,45,0.0,100,990.7,4.7,90,5.4,555.0
2015-01-01T10,,,,,,21.4,45,0.0,100,990.4,3.4,58,4.2,530.0
2015-01-01T11,,,,,,20.5,52,0.0,100,989.6,2.4,63,5.5,145.0
2015-01-01T12,,,,,,19.5,56,0.0,100,990.3,5.4,94,6.5,40.0
2015-01-01T13,,,,,,18.0,62,0.0,100,990.4,7.1,105,9.2,35.0
2015-01-01T14,,,,,,17.0,66,0.0,100,991.3,8.1,122,11.6,40.0
2015-01-01T15,,,,,,16.3,70,0.0,100,991.5,6.9,141,14.0,45.0
2015-01-01T16,,,,,,15.8,74,0.0,100,991.9,6.6,151,16.0,55.0
2015-01-01T17,,,,,,15.5,77,0.0,96,991.9,6.4,137,13.2,45.0
2015-01-01T18,,,,,,14.8,80,0.0,89,992.1,6.0,107,9.2,30.0
2015-01-01T19,,,,,,14.9,81,0.0,90,991.8,5.4,70,8.1,30.0
2015-01-01T20,,,,,,14.5,84,0.0,90,991.9,5.0,69,9.0,30.0
2015-01-01T21,,,,,,14.4,86,0.0,89,991.6,6.0,73,9.0,30.0
2015-01-01T22,,,,,,14.2,87,0.0,99,991.5,4.4,125,7.1,20.0
2015-01-01T23,,,,,,14.1,88,0.3,100,991.1,3.8,131,9.2,35.0
2015-01-02T00,,,,,,14.5,84,0.0,98,991.1,6.8,115,14.6,80.0
2015-01-02T01,,,,,,14.6,81,0.1,100,991.8,6.6,103,14.9,145.0
2015-01-02T02,,,,,,14.4,81,0.1,100,992.1,7.3,101,15.2,160.0
