hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2018-08-14T02,57.0,375.5,72.65,4.9,10.95,1,1,1,1,1
2018-08-14T03,40.5,276.0,16.9,23.65,6.0,1,1,1,1,1
2018-08-14T04,35.0,172.0,15.1,44.75,8.3,1,1,1,1,1
2018-08-14T05,40.5,183.0,22.5,47.3,16.5,1,1,1,1,1
2018-08-14T06,50.0,204.0,27.2,84.5,11.8,1,1,1,1,1
2018-08-14T07,72.333,209.333,30.5,69.333,6.45,1,1,1,1,1
2018-08-14T08,52.5,233.0,39.4,39.4,2.75,1,1,1,1,1
2018-08-14T09,42.0,280.0,19.75,54.1,2.35,1,1,1,1,1
2018-08-14T11,25.0,135.0,22.5,45.967,5.4,1,1,1,1,1
2018-08-14T12,40.5,210.0,43.15,41.85,9.5,1,1,1,1,1
2018-08-14T13,52.0,269.0,52.0,25.0,2.6,1,1,1,1,1
2018-08-14T15,51.5,254.5,60.3,6.45,8.5,1,1,1,1,1
2018-08-14T16,56.333,244.333,57.1,5.2,8.367,1,1,1,1,1
2018-08-14T23,31.0,121.5,30.1,6.45,4.1,1,1,1,1,1
2018-08-15T00,39.0,177.0,27.3,5.75,7.05,1,1,1,1,1
2018-08-15T01,41.0,225.5,19.3,11.7,8.15,1,1,1,1,1
2018-08-15T04,29.667,195.667,10.7,49.267,8.633,1,1,1,1,1
2018-08-15T05,21.333,135.333,10.233,57.933,6.65,1,1,1,1,1
2018-08-15T06,18.0,96.0,11.0,61.3,4.2,1,1,1,1,1
2018-08-15T07,22.0,92.0,11.15,83.35,14.7,1,1,1,1,1
2018-08-15T08,39.333,162.667,15.0,100.533,14.367,1,1,1,1,1
2018-08-15T09,52.0,207.667,19.833,105.033,11.4,1,1,1,1,1
2018-08-15T10,51.5,179.5,25.9,68.35,12.2,1,1,1,1,1
2018-08-15T11,39.0,136.0,24.833,60.5,13.1,1,1,1,1,1
2018-08-15T12,24.0,141.0,43.05,36.6,9.75,1,1,1,1,1
2018-08-15T13,31.0,144.0,22.667,42.067,5.667,1,1,1,1,1
2018-08-15T14,20.0,97.0,15.2,44.3,,1,1,1,1,0
2018-08-15T15,21.333,96.667,20.1,40.433,2.033,1,1,1,1,1
2018-08-15T16,23.667,94.333,29.7,25.167,4.6,1,1,1,1,1
2018-08-15T17,22.667,96.0,25.667,23.2,9.5,1,1,1,1,1
2018-08-15T18,21.0,93.5,27.4,21.25,11.15,1,1,1,1,1
2018-08-15T19,22.333,81.667,19.767,18.1,11.633,1,1,1,1,1
2018-08-15T20,30.0,85.5,24.5,13.1,11.9,1,1,1,1,1
2018-08-15T21,33.25,89.75,27.05,9.25,10.6,1,1,1,1,1
2018-08-15T22,32.5,91.5,18.2,14.9,5.9,1,1,1,1,1
2018-08-15T23,32.75,92.5,26.125,9.45,7.733,1,1,1,1,1
2018-08-16T00,38.0,121.0,31.9,8.8,14.35,1,1,1,1,1
2018-08-16T01,34.5,179.5,34.4,11.2,16.25,1,1,1,1,1
2018-08-16T02,28.0,208.5,30.8,19.0,17.5,1,1,1,1,1
2018-08-16T03,35.0,189.5,28.5,32.1,17.25,1,1,1,1,1
2018-08-16T04,41.5,168.5,22.55,55.3,16.8,1,1,1,1,1
2018-08-16T05,44.0,148.5,23.35,70.95,16.25,1,1,1,1,1
2018-08-16T06,37.5,140.0,20.15,63.7,11.3,1,1,1,1,1
2018-08-16T07,27.0,134.5,29.2,71.65,5.45,1,1,1,1,1
2018-08-16T08,35.0,201.0,49.55,36.75,9.0,1,1,1,1,1
2018-08-16T09,27.0,106.0,29.6,56.7,17.1,1,1,1,1,1
2018-08-16T10,27.0,106.0,28.9,46.0,13.8,1,1,1,1,1
2018-08-16T11,23.0,61.0,32.6,24.6,11.65,1,1,1,1,1
2018-08-16T12,19.0,87.667,47.333,9.567,8.667,1,1,1,1,1
2018-08-16T13,25.0,167.0,54.8,12.4,7.5,1,1,1,1,1
2018-08-16T14,53.0,162.333,55.0,10.733,9.8,1,1,1,1,1
2018-08-16T15,55.0,177.0,65.6,9.5,12.2,1,1,1,1,1
2018-08-16T18,64.0,188.0,49.1,8.1,9.3,1,1,1,1,1
2018-08-16T19,90.0,183.667,38.6,13.3,9.933,1,1,1,1,1
2018-08-16T21,61.25,125.5,32.475,74.9,6.525,1,1,1,1,1
2018-08-16T22,59.0,118.0,31.7,85.5,4.7,1,1,1,1,1
2018-08-16T23,40.5,111.0,25.8,7.2,8.8,1,1,1,1,1
2018-08-17T00,30.0,94.0,26.55,7.15,7.95,1,1,1,1,1
2018-08-17T01,19.0,100.5,17.35,10.25,9.2,1,1,1,1,1
2018-08-17T02,13.0,117.0,12.9,22.6,8.6,1,1,1,1,1
2018-08-17T03,12.0,124.0,13.9,30.4,11.7,1,1,1,1,1
2018-08-17T10,12.0,91.0,16.6,48.3,12.0,1,1,1,1,1
2018-08-17T11,14.0,135.0,21.9,24.9,,1,1,1,1,0
2018-08-17T14,48.0,174.0,36.4,7.6,,1,1,1,1,0
2018-08-17T15,48.0,174.0,32.9,8.1,1.8,1,1,1,1,1
2018-08-17T16,42.0,139.0,28.5,7.4,2.65,1,1,1,1,1
2018-08-17T17,37.5,122.5,29.5,5.25,3.05,1,1,1,1,1
2018-08-17T18,33.0,112.0,28.7,19.1,6.3,1,1,1,1,1
2018-08-17T19,28.0,101.0,31.8,62.6,7.1,1,1,1,1,1
2018-08-17T20,31.0,102.0,30.5,22.0,10.6,1,1,1,1,1
2018-08-17T21,33.5,85.0,28.95,12.5,6.5,1,1,1,1,1
2018-08-17T22,34.667,79.333,25.933,7.433,,1,1,1,1,0
2018-08-17T23,24.0,78.0,25.15,5.4,,1,1,1,1,0
2018-08-18T00,28.0,95.0,25.35,5.8,17.65,1,1,1,1,1
2018-08-18T01,28.0,150.0,22.95,5.3,22.35,1,1,1,1,1
2018-08-18T02,29.333,173.0,18.533,16.967,27.833,1,1,1,1,1
2018-08-18T03,32.0,176.0,15.1,28.45,27.05,1,1,1,1,1
2018-08-18T04,24.0,156.0,17.5,33.9,28.5,1,1,1,1,1
2018-08-18T05,26.5,156.0,23.9,35.8,23.2,1,1,1,1,1
2018-08-18T06,26.667,141.0,20.033,41.1,10.5,1,1,1,1,1
2018-08-18T07,23.0,128.0,18.25,41.25,10.25,1,1,1,1,1
2018-08-18T08,23.333,135.333,13.967,50.667,8.767,1,1,1,1,1
2018-08-18T09,22.0,116.0,12.4,52.3,11.9,1,1,1,1,1
2018-08-18T10,20.5,113.0,17.0,62.05,20.0,1,1,1,1,1
2018-08-18T11,25.0,115.333,27.467,34.933,19.35,1,1,1,1,1
2018-08-18T12,19.667,101.667,38.067,22.467,13.367,1,1,1,1,1
2018-08-18T13,27.75,131.0,50.25,18.475,7.175,1,1,1,1,1
2018-08-18T14,36.0,161.0,55.3,11.9,0.3,1,1,1,1,1
2018-08-19T23,92.0,156.0,32.6,6.0,7.6,1,1,1,1,1
2018-08-20T07,95.0,257.0,38.5,196.1,7.8,1,1,1,1,1
2018-08-20T10,46.0,196.0,26.3,84.4,20.3,1,1,1,1,1
2018-08-20T11,58.0,202.0,42.3,48.6,17.5,1,1,1,1,1
2018-08-20T12,58.333,198.0,38.933,32.033,14.1,1,1,1,1,1
2018-08-20T13,58.333,173.0,26.033,20.933,11.033,1,1,1,1,1
2018-08-20T14,51.0,154.0,36.2,8.95,1.2,1,1,1,1,1
2018-08-20T15,45.0,169.0,38.2,6.9,2.3,1,1,1,1,1
2018-08-20T16,40.5,149.5,29.8,5.8,2.95,1,1,1,1,1
2018-08-20T17,39.333,133.667,33.7,4.1,3.233,1,1,1,1,1
2018-08-20T18,31.667,114.667,17.033,8.333,18.933,1,1,1,1,1
2018-08-20T19,22.5,80.5,17.75,20.8,20.3,1,1,1,1,1
2018-08-20T20,19.5,50.5,26.4,6.05,23.7,1,1,1,1,1
2018-08-20T21,19.5,52.5,23.6,9.15,16.55,1,1,1,1,1
2018-08-20T22,21.5,57.25,17.35,12.2,6.85,1,1,1,1,1
2018-08-20T23,21.0,54.333,18.2,10.233,8.95,1,1,1,1,1
2018-08-21T00,29.0,125.0,22.1,8.5,9.9,1,1,1,1,1
2018-08-21T01,40.5,198.5,19.7,7.8,12.25,1,1,1,1,1
2018-08-21T02,40.0,235.5,22.3,18.75,18.45,1,1,1,1,1
2018-08-21T03,28.0,199.0,19.5,37.0,20.2,1,1,1,1,1
2018-08-21T04,24.0,172.0,24.25,43.4,21.1,1,1,1,1,1
2018-08-21T05,26.5,143.0,18.25,65.3,9.95,1,1,1,1,1
2018-08-21T06,28.5,150.5,19.05,55.9,8.6,1,1,1,1,1
