hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2026-01-04T04,143.0,197.0,78.675,40.575,7.125,1,1,1,1,1
2026-01-04T05,135.0,200.0,75.3,62.425,6.975,1,1,1,1,1
2026-01-04T06,121.0,180.0,69.525,84.425,7.75,1,1,1,1,1
2026-01-04T07,114.0,163.0,73.3,87.3,6.625,1,1,1,1,1
2026-01-04T08,118.0,180.0,75.075,90.65,7.675,1,1,1,1,1
2026-01-04T09,121.0,183.0,72.625,95.675,5.325,1,1,1,1,1
2026-01-04T10,135.0,194.0,78.775,90.325,5.6,1,1,1,1,1
2026-01-04T11,158.0,227.0,108.225,43.45,6.75,1,1,1,1,1
2026-01-04T12,164.0,235.0,121.0,16.775,6.225,1,1,1,1,1
2026-01-04T13,161.0,226.0,126.233,1.833,6.667,1,1,1,1,1
2026-01-04T14,222.0,234.0,115.625,8.2,6.025,1,1,1,1,1
2026-01-04T15,150.0,201.0,116.375,3.75,6.075,1,1,1,1,1
2026-01-04T16,125.0,172.0,115.8,6.65,7.6,1,1,1,1,1
2026-01-04T17,127.0,174.0,107.675,6.275,6.6,1,1,1,1,1
2026-01-04T18,102.0,141.0,77.6,33.5,6.2,1,1,1,1,1
2026-01-04T19,79.0,105.0,89.175,28.0,6.5,1,1,1,1,1
2026-01-04T20,85.0,119.0,87.8,15.15,65.1,1,1,1,1,1
2026-01-04T21,112.0,150.0,78.525,20.975,5.25,1,1,1,1,1
2026-01-04T22,122.0,173.0,69.6,27.75,4.35,1,1,1,1,1
2026-01-04T23,124.0,182.0,68.6,24.75,4.65,1,1,1,1,1
2026-01-05T00,141.0,208.0,64.225,34.2,4.6,1,1,1,1,1
2026-01-05T01,122.0,174.0,67.1,35.15,4.9,1,1,1,1,1
2026-01-05T02,102.0,156.0,64.85,35.35,4.2,1,1,1,1,1
2026-01-05T03,100.0,171.0,75.75,29.025,4.825,1,1,1,1,1
2026-01-05T04,110.0,184.0,73.1,41.9,6.375,1,1,1,1,1
2026-01-05T05,112.0,197.0,78.2,55.875,6.8,1,1,1,1,1
2026-01-05T06,125.0,241.0,91.8,,8.5,1,1,1,0,1
2026-01-05T07,118.0,204.0,99.475,107.175,8.675,1,1,1,1,1
2026-01-05T08,129.0,217.0,118.367,107.267,7.467,1,1,1,1,1
2026-01-05T09,135.0,223.0,126.8,91.725,7.0,1,1,1,1,1
2026-01-05T10,114.0,196.0,127.85,85.225,5.425,1,1,1,1,1
2026-01-05T11,117.0,210.0,162.875,50.5,6.175,1,1,1,1,1
2026-01-05T12,138.0,245.0,195.025,12.65,8.625,1,1,1,1,1
2026-01-05T13,195.0,304.0,200.075,3.175,8.975,1,1,1,1,1
2026-01-05T14,197.0,296.0,198.45,2.1,9.125,1,1,1,1,1
2026-01-05T15,190.0,282.0,176.0,0.3,8.9,1,1,1,1,1
2026-01-05T16,185.0,276.0,164.35,2.65,10.0,1,1,1,1,1
2026-01-05T17,204.0,285.0,151.825,1.9,11.225,1,1,1,1,1
2026-01-05T18,208.0,300.0,149.8,2.8,13.3,1,1,1,1,1
2026-01-05T19,190.0,261.0,139.325,2.4,11.25,1,1,1,1,1
2026-01-05T20,166.0,229.0,130.1,8.45,245.6,1,1,1,1,1
2026-01-05T21,166.0,213.0,124.175,5.925,9.775,1,1,1,1,1
2026-01-05T22,164.0,219.0,117.0,3.625,8.125,1,1,1,1,1
2026-01-05T23,147.0,206.0,116.467,3.0,7.733,1,1,1,1,1
2026-01-06T00,163.0,217.0,110.15,4.075,7.4,1,1,1,1,1
2026-01-06T01,182.0,239.0,105.175,2.975,6.675,1,1,1,1,1
2026-01-06T02,226.0,249.0,105.225,2.2,7.725,1,1,1,1,1
2026-01-06T03,179.0,268.0,109.55,4.667,7.75,1,1,1,1,1
2026-01-06T04,190.0,280.0,112.55,9.625,10.4,1,1,1,1,1
2026-01-06T05,205.0,294.0,116.567,19.3,8.333,1,1,1,1,1
2026-01-06T06,200.0,283.0,112.925,35.2,9.6,1,1,1,1,1
2026-01-06T07,177.0,254.0,118.825,48.825,10.3,1,1,1,1,1
2026-01-06T08,186.0,261.0,116.55,66.625,9.1,1,1,1,1,1
2026-01-06T09,175.0,259.0,130.75,54.275,9.425,1,1,1,1,1
2026-01-06T10,213.0,313.0,142.725,31.9,8.7,1,1,1,1,1
2026-01-06T11,217.0,311.0,145.933,15.633,8.9,1,1,1,1,1
2026-01-06T12,223.0,324.0,140.825,6.0,8.275,1,1,1,1,1
2026-01-06T13,211.0,309.0,131.2,2.7,8.367,1,1,1,1,1
2026-01-06T14,207.0,309.0,127.875,2.333,8.9,1,1,1,1,1
2026-01-06T15,216.0,311.0,116.05,2.4,8.725,1,1,1,1,1
2026-01-06T16,207.0,304.0,115.775,3.15,8.975,1,1,1,1,1
2026-01-06T17,182.0,271.0,108.025,6.425,8.275,1,1,1,1,1
2026-01-06T18,167.0,239.0,102.9,12.6,7.9,1,1,1,1,1
2026-01-06T19,152.0,230.0,92.267,17.6,7.567,1,1,1,1,1
2026-01-06T20,143.0,216.0,92.05,19.6,225.1,1,1,1,1,1
2026-01-06T21,127.0,190.0,84.825,24.775,7.9,1,1,1,1,1
2026-01-06T22,122.0,190.0,85.175,19.625,6.75,1,1,1,1,1
2026-01-06T23,117.0,179.0,80.875,25.3,6.625,1,1,1,1,1
2026-01-07T01,111.0,188.0,84.05,25.975,6.275,1,1,1,1,1
2026-01-07T02,110.0,185.0,87.35,19.15,5.225,1,1,1,1,1
2026-01-07T03,124.0,199.0,88.0,18.5,5.825,1,1,1,1,1
2026-01-07T04,118.0,202.0,88.675,32.475,7.35,1,1,1,1,1
2026-01-07T05,122.0,201.0,94.525,44.5,7.85,1,1,1,1,1
2026-01-07T06,136.0,221.0,98.333,64.9,8.067,1,1,1,1,1
2026-01-07T07,144.0,226.0,106.075,83.625,8.75,1,1,1,1,1
2026-01-07T08,151.0,241.0,112.825,103.825,8.425,1,1,1,1,1
2026-01-07T09,156.0,252.0,121.0,109.75,7.35,1,1,1,1,1
2026-01-07T10,157.0,255.0,148.625,81.475,6.4,1,1,1,1,1
2026-01-07T11,168.0,291.0,155.75,58.5,6.975,1,1,1,1,1
2026-01-07T12,180.0,302.0,173.775,19.35,7.125,1,1,1,1,1
2026-01-07T13,183.0,305.0,170.35,3.5,9.35,1,1,1,1,1
2026-01-07T14,199.0,309.0,166.175,3.267,9.5,1,1,1,1,1
2026-01-07T15,211.0,320.0,153.375,0.1,10.625,1,1,1,1,1
2026-01-07T16,235.0,349.0,138.1,1.675,11.5,1,1,1,1,1
2026-01-07T17,196.0,273.0,121.0,2.1,10.675,1,1,1,1,1
2026-01-07T18,188.0,263.0,112.1,2.5,10.3,1,1,1,1,1
2026-01-07T19,166.0,235.0,105.05,6.0,9.05,1,1,1,1,1
2026-01-07T20,130.0,168.0,93.2,13.925,228.35,1,1,1,1,1
2026-01-07T21,102.0,144.0,83.625,21.925,8.125,1,1,1,1,1
2026-01-07T22,102.0,135.0,78.4,18.075,7.725,1,1,1,1,1
2026-01-07T23,95.0,133.0,78.15,19.275,8.225,1,1,1,1,1
2026-01-08T00,99.0,149.0,81.025,17.425,6.325,1,1,1,1,1
2026-01-08T01,105.0,158.0,86.1,13.05,5.85,1,1,1,1,1
2026-01-08T02,107.0,153.0,82.8,15.05,6.775,1,1,1,1,1
2026-01-08T03,112.0,163.0,93.725,6.525,6.1,1,1,1,1,1
2026-01-08T04,125.0,279.0,101.1,22.8,6.65,1,1,1,1,1
2026-01-08T05,143.0,223.0,113.875,42.8,6.725,1,1,1,1,1
2026-01-08T06,158.0,251.0,136.125,63.425,7.675,1,1,1,1,1
2026-01-08T07,183.0,273.0,139.6,92.475,9.25,1,1,1,1,1
2026-01-08T08,178.0,267.0,141.15,115.75,9.525,1,1,1,1,1
2026-01-08T09,183.0,278.0,150.8,139.775,9.95,1,1,1,1,1
2026-01-08T10,197.0,302.0,170.8,115.25,10.05,1,1,1,1,1
2026-01-08T11,195.0,311.0,192.825,86.85,11.025,1,1,1,1,1
2026-01-08T12,224.0,343.0,282.15,12.25,11.075,1,1,1,1,1
2026-01-08T13,320.0,509.0,248.425,2.25,15.825,1,1,1,1,1
2026-01-08T14,354.0,539.0,240.7,2.667,17.375,1,1,1,1,1
2026-01-08T15,376.0,552.0,200.375,,16.4,1,1,1,0,1
2026-01-08T16,329.0,472.0,182.075,2.7,20.2,1,1,1,1,1
2026-01-08T17,390.0,532.0,157.525,3.375,18.0,1,1,1,1,1
2026-01-08T18,486.0,571.0,135.6,2.9,16.9,1,1,1,1,1
2026-01-08T19,357.0,453.0,130.575,4.4,16.1,1,1,1,1,1
2026-01-08T20,287.0,404.0,126.15,3.5,226.0,1,1,1,1,1
2026-01-08T21,240.0,364.0,122.225,10.575,17.4,1,1,1,1,1
2026-01-08T22,240.0,353.0,114.975,1.85,14.175,1,1,1,1,1
2026-01-08T23,202.0,300.0,104.325,2.2,12.725,1,1,1,1,1
