hour_utc,pm2_5,pm10,nitrogen_dioxide,ozone,sulphur_dioxide,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,surface_pressure,wind_speed_10m,wind_direction_10m,wind_speed_100m,boundary_layer_height
2022-09-17T00,64.3,96.9,56.1,21.0,31.3,23.8,94,0.0,1,976.3,5.6,220,11.6,70.0
2022-09-17T01,66.4,102.2,52.3,27.0,27.0,24.4,92,0.0,5,977.0,3.7,191,10.5,70.0
2022-09-17T02,63.6,99.4,46.7,37.0,21.0,26.1,85,0.0,0,977.8,4.8,193,11.3,165.0
2022-09-17T03,53.9,90.1,37.1,56.0,13.7,28.4,73,0.0,10,978.6,8.2,255,11.4,505.0
2022-09-17T04,44.6,85.0,27.1,79.0,10.1,30.5,65,0.0,96,979.2,14.0,271,18.4,695.0
2022-09-17T05,37.0,81.3,15.5,108.0,7.2,32.1,58,0.0,64,979.6,15.5,288,20.2,895.0
2022-09-17T06,33.3,78.9,3.8,137.0,4.6,33.1,54,0.0,43,979.4,14.6,303,18.5,1075.0
2022-09-17T07,32.1,76.4,0.4,147.0,4.0,33.7,52,0.0,29,979.0,14.6,308,18.5,1225.0
2022-09-17T08,31.5,73.3,0.1,150.0,4.3,34.2,50,0.0,15,978.1,14.6,310,18.2,1305.0
2022-09-17T09,30.6,69.8,3.4,145.0,4.8,34.6,48,0.0,7,977.3,14.1,310,18.2,1390.0
2022-09-17T10,29.4,66.4,6.1,135.0,3.6,34.7,46,0.0,31,976.9,13.5,314,17.6,1485.0
2022-09-17T11,28.8,64.0,10.4,118.0,2.1,34.2,46,0.0,23,976.7,13.1,323,17.4,1155.0
2022-09-17T12,30.6,62.9,21.9,106.0,5.9,31.4,66,0.0,20,977.4,3.3,49,6.3,555.0
2022-09-17T13,42.0,75.2,50.2,84.0,13.5,26.9,80,0.1,46,978.0,20.8,118,30.8,95.0
2022-09-17T14,56.3,94.3,90.3,53.0,24.3,26.3,77,0.0,18,978.6,6.9,99,12.7,75.0
2022-09-17T15,68.0,114.3,127.1,23.0,35.9,26.7,76,0.0,23,979.7,10.2,82,19.9,100.0
2022-09-17T16,71.0,117.1,125.7,20.0,39.9,26.1,80,0.0,7,980.3,8.4,115,16.0,120.0
2022-09-17T17,70.3,112.7,110.0,27.0,41.6,25.2,86,0.0,2,980.8,8.7,142,16.9,135.0
2022-09-17T18,66.6,105.2,88.2,35.0,40.5,24.8,89,0.0,1,980.8,6.7,164,14.8,130.0
2022-09-17T19,62.9,98.3,78.2,35.0,36.0,24.5,91,0.0,1,980.5,5.0,150,13.0,90.0
2022-09-17T20,61.5,95.7,68.9,33.0,28.9,24.2,92,0.0,1,980.1,3.8,131,9.7,65.0
2022-09-17T21,61.2,95.0,58.9,30.0,20.8,24.6,91,0.0,0,979.8,3.4,148,6.6,55.0
2022-09-17T22,60.5,93.6,53.9,27.0,18.0,24.0,94,0.0,0,979.7,4.1,75,4.6,55.0
2022-09-17T23,60.3,93.4,50.6,22.0,16.5,23.6,97,0.0,2,980.1,5.1,98,9.4,65.0
2022-09-18T00,89.6,136.4,61.3,18.0,35.3,24.3,96,0.0,12,980.9,4.7,67,11.8,55.0
2022-09-18T01,88.2,134.1,58.4,27.0,32.1,24.7,94,0.0,1,981.5,4.9,73,9.8,40.0
2022-09-18T02,80.3,122.5,54.1,40.0,27.5,26.0,88,0.0,0,982.3,1.6,117,4.6,100.0
