hour_utc,pm25,pm10,no2,o3,so2,pm25_n,pm10_n,no2_n,o3_n,so2_n
2019-05-01T00,126.0,399.5,31.45,39.13,77.25,1,1,1,1,1
2019-05-01T01,122.5,403.25,25.8,55.917,263.3,1,1,1,1,1
2019-05-01T02,121.0,410.0,21.5,,54.267,1,1,1,0,1
2019-05-01T03,125.0,429.0,17.833,127.5,60.967,1,1,1,1,1
2019-05-01T04,139.5,460.5,19.45,201.02,46.8,1,1,1,1,1
2019-05-01T05,139.25,463.5,17.55,233.353,45.7,1,1,1,1,1
2019-05-01T06,123.0,430.0,14.85,251.143,36.525,1,1,1,1,1
2019-05-01T07,117.0,451.0,11.167,229.247,24.767,1,1,1,1,1
2019-05-01T08,87.0,345.5,6.55,186.35,15.475,1,1,1,1,1
2019-05-01T09,58.25,254.0,5.925,174.227,11.867,1,1,1,1,1
2019-05-01T10,61.75,271.25,8.575,185.423,12.8,1,1,1,1,1
2019-05-01T11,58.5,306.667,12.667,185.117,12.2,1,1,1,1,1
2019-05-01T12,68.0,427.667,34.333,143.247,13.333,1,1,1,1,1
2019-05-01T13,105.0,632.0,57.033,90.403,24.567,1,1,1,1,1
2019-05-01T14,135.75,634.75,57.6,77.028,38.475,1,1,1,1,1
2019-05-01T15,150.0,613.0,85.2,53.255,41.45,1,1,1,1,1
2019-05-01T16,147.5,596.0,118.375,7.938,36.225,1,1,1,1,1
2019-05-01T17,178.0,630.667,102.467,4.173,18.233,1,1,1,1,1
2019-05-01T18,158.334,668.5,73.166,18.243,31.15,2,2,2,2,2
2019-05-01T19,151.667,594.0,19.267,53.137,32.267,1,1,1,1,1
2019-05-01T20,116.5,410.75,11.9,67.695,18.125,1,1,1,1,1
2019-05-01T21,54.0,229.0,15.1,58.66,,1,1,1,1,0
2019-05-01T22,57.667,234.667,18.533,57.48,35.5,1,1,1,1,1
2019-05-01T23,57.0,239.333,14.567,63.627,25.667,1,1,1,1,1
2019-05-02T00,47.333,229.0,15.9,67.95,26.9,1,1,1,1,1
2019-05-02T01,59.333,249.667,14.3,77.493,236.5,1,1,1,1,1
2019-05-02T02,53.0,287.0,14.8,88.57,16.65,1,1,1,1,1
2019-05-02T03,53.333,420.333,13.0,105.1,17.05,1,1,1,1,1
2019-05-02T04,64.0,671.0,11.6,116.21,15.2,1,1,1,1,1
2019-05-02T05,74.333,533.0,11.767,136.877,16.0,1,1,1,1,1
2019-05-02T06,79.0,494.0,10.233,153.717,14.3,1,1,1,1,1
2019-05-02T07,77.5,485.0,9.2,161.13,11.45,1,1,1,1,1
2019-05-02T08,76.0,494.0,8.533,165.953,9.5,1,1,1,1,1
2019-05-02T09,76.0,510.0,7.4,172.055,9.3,1,1,1,1,1
2019-05-02T10,66.0,429.0,7.1,172.34,8.5,1,1,1,1,1
2019-05-02T11,72.0,405.0,10.5,168.58,9.9,1,1,1,1,1
2019-05-02T12,73.0,368.0,19.0,117.66,5.2,1,1,1,1,1
